駕 멍에 가-
涵 젖을 함
檻 난간 함:
喊 소리칠 함:
函 함 함
銜 재갈 함
鹹 짤 함
盒 합 합
蛤 조개 합
缸 항아리 항
肛 항문 항
諧 화할 해
骸 뼈 해
楷 본보기 해
偕 함께 해
駭 놀랄 해
懈 게으를 해:
咳 기침 해
邂 우연히만날 해:
劾 꾸짖을 핵
嚮 길잡을 향:
饗 잔치할 향
噓 불[吹] 허
墟 터 허
歇 쉴 헐
衒 자랑할 현:
眩 어지러울 현:
絢 무늬 현:
俠 의기로울 협
挾 낄 협
狹 좁을 협
頰 뺨 협
荊 가시 형
彗 살별 혜:
醯 식혜 혜
糊 풀칠할 호
弧 활 호
狐 여우 호
瑚 산호 호
琥 호박 호:
渾 흐릴 혼:
笏 홀 홀
惚 황홀할 홀
哄 떠들썩할 홍
訌 어지러울 홍
虹 무지개 홍
宦 벼슬 환:
鰥 홀아비 환
喚 부를 환
驩 기뻐할 환
猾 교활할 활
闊 넓을 활
煌 빛날 황
徨 헤맬 황
遑 급할 황
恍 황홀할 황
慌 어리둥절할 황
凰 봉황 황
惶 두려울 황
賄 재물/뇌물 회:
誨 가르칠 회:
蛔 회충 회
膾 회 회
繪 그림 회:
晦 그믐 회
徊 머뭇거릴 회
恢 넓을 회
嚆 울릴 효
爻 사귈/가로그을 효
酵 삭힐 효:
哮 성낼 효
逅 만날 후:
朽 썩을 후:
嗅 맡을 후:
吼 울부짖을 후: 
暈 무리 훈
喧 지껄일 훤
喙 부리 훼
卉 풀 훼
麾 기 휘
彙 무리 휘
諱 숨길/꺼릴 휘
恤 불쌍할 휼
兇 흉악할 흉
洶 용솟음칠 흉
欣 기쁠 흔
痕 흔적 흔
歆 흠향할 흠
欠 하품 흠:
洽 흡족할 흡
恰 흡사할 흡
犧 희생 희
詰 꾸짖을 힐
